,地区,新增,累计,治愈,死亡,严重程度,总和
12,德国,10538.0,2284999.0,2029200.0,61998.0,一般严重,2295537.0
14,哥伦比亚,7248.0,2151207.0,2022331.0,55693.0,稍微严重,2158455.0
16,阿根廷,8374.0,1976689.0,1772059.0,49110.0,稍微严重,1985063.0
18,墨西哥,13051.0,1926080.0,1482138.0,165786.0,一般严重,1939131.0
20,波兰,5966.0,1545530.0,1301571.0,38994.0,稍微严重,1551496.0
22,南非,3749.0,1473700.0,1340497.0,46180.0,稍微严重,1477449.0
24,伊朗,6990.0,1459370.0,1247374.0,58412.0,稍微严重,1466360.0
26,乌克兰,4310.0,1244849.0,1073046.0,23597.0,稍微严重,1249159.0
28,秘鲁,7993.0,1180478.0,1089040.0,42121.0,稍微严重,1188471.0
30,印度尼西亚,12156.0,1147010.0,939184.0,31393.0,一般严重,1159166.0
32,捷克,8635.0,1034975.0,919699.0,17235.0,稍微严重,1043610.0
34,荷兰,4075.0,1001826.0,13286.0,14355.0,稍微严重,1005901.0
36,加拿大,5410.0,801057.0,734644.0,20702.0,稍微严重,806467.0
38,葡萄牙,6132.0,761906.0,599593.0,13954.0,稍微严重,768038.0
40,智利,0.0,748082.0,706020.0,18895.0,一丢丢严重,748082.0
42,罗马尼亚,2611.0,743343.0,689474.0,18809.0,稍微严重,745954.0
44,比利时,2585.0,723870.0,49737.0,21352.0,稍微严重,726455.0
46,以色列,0.0,686774.0,610104.0,5074.0,一丢丢严重,686774.0
48,伊拉克,1660.0,627416.0,599167.0,13111.0,稍微严重,629076.0
50,瑞典,0.0,588062.0,4971.0,12115.0,一丢丢严重,588062.0
52,巴基斯坦,1286.0,554474.0,510242.0,11967.0,稍微严重,555760.0
54,孟加拉国,305.0,537770.0,482841.0,8190.0,一丢丢严重,538075.0
56,菲律宾,1934.0,537310.0,499798.0,11179.0,稍微严重,539244.0
58,瑞士,0.0,531873.0,317600.0,9606.0,一丢丢严重,531873.0
60,摩洛哥,712.0,474966.0,453921.0,8381.0,一丢丢严重,475678.0
62,奥地利,1333.0,422522.0,400851.0,7994.0,稍微严重,423855.0
64,塞尔维亚,3652.0,406352.0,31536.0,4112.0,稍微严重,410004.0
66,日本,2277.0,403938.0,358872.0,6376.0,稍微严重,406215.0
68,匈牙利,1561.0,376495.0,279763.0,13090.0,稍微严重,378056.0
70,沙特阿拉伯,386.0,369961.0,361237.0,6397.0,一丢丢严重,370347.0
72,约旦,865.0,333855.0,319490.0,4369.0,一丢丢严重,334720.0
74,巴拿马,998.0,326464.0,290124.0,5455.0,一丢丢严重,327462.0
76,阿拉伯联合酋长国,3276.0,323402.0,301081.0,914.0,稍微严重,326678.0
78,黎巴嫩,3071.0,317836.0,201137.0,3562.0,稍微严重,320907.0
80,尼泊尔,99.0,271806.0,267812.0,2035.0,一丢丢严重,271905.0
82,格鲁吉亚,602.0,262024.0,253614.0,3283.0,一丢丢严重,262626.0
84,斯洛伐克,2241.0,261774.0,238221.0,5135.0,稍微严重,264015.0
86,厄瓜多尔,2073.0,257115.0,209814.0,15004.0,稍微严重,259188.0
88,白俄罗斯,1787.0,256959.0,244941.0,1773.0,稍微严重,258746.0
90,马来西亚,3847.0,238721.0,186970.0,857.0,稍微严重,242568.0
92,克罗地亚,424.0,235126.0,227078.0,5144.0,一丢丢严重,235550.0
94,阿塞拜疆,115.0,231022.0,224961.0,3156.0,一丢丢严重,231137.0
96,玻利维亚,1676.0,227128.0,167354.0,10753.0,稍微严重,228804.0
98,保加利亚,910.0,223552.0,193191.0,9311.0,一丢丢严重,224462.0
100,多米尼加,1722.0,222148.0,165659.0,2801.0,稍微严重,223870.0
102,突尼斯,1163.0,216176.0,172885.0,7162.0,稍微严重,217339.0
104,爱尔兰,1019.0,202548.0,23364.0,3674.0,稍微严重,203567.0
108,哥斯达黎加,446.0,196438.0,156181.0,2672.0,一丢丢严重,196884.0
110,哈萨克斯坦,1141.0,193966.0,174880.0,2540.0,稍微严重,195107.0
112,立陶宛,677.0,186278.0,138013.0,2927.0,一丢丢严重,186955.0
114,斯洛文尼亚,902.0,173201.0,153791.0,3612.0,一丢丢严重,174103.0
116,科威特,940.0,170036.0,161093.0,964.0,一丢丢严重,170976.0
118,埃及,540.0,169106.0,132054.0,9604.0,一丢丢严重,169646.0
120,亚美尼亚,211.0,168088.0,159720.0,3117.0,一丢丢严重,168299.0
122,摩尔多瓦,843.0,164243.0,153196.0,3530.0,一丢丢严重,165086.0
124,希腊,1106.0,163213.0,146461.0,5951.0,稍微严重,164319.0
126,危地马拉,630.0,162937.0,148917.0,5854.0,一丢丢严重,163567.0
128,巴勒斯坦,470.0,162029.0,152120.0,1870.0,一丢丢严重,162499.0
130,洪都拉斯,1028.0,153905.0,61785.0,3710.0,稍微严重,154933.0
132,卡塔尔,394.0,153690.0,146759.0,250.0,一丢丢严重,154084.0
134,埃塞俄比亚,726.0,141453.0,125531.0,2145.0,一丢丢严重,142179.0
136,缅甸,200.0,141304.0,127229.0,3168.0,一丢丢严重,141504.0
138,尼日利亚,1624.0,139242.0,112557.0,1647.0,稍微严重,140866.0
140,巴拉圭,867.0,137603.0,113366.0,2807.0,一丢丢严重,138470.0
142,阿曼,0.0,135041.0,127266.0,1532.0,一丢丢严重,135041.0
144,委内瑞拉,456.0,129643.0,121569.0,1228.0,一丢丢严重,130099.0
146,波黑,606.0,123434.0,97128.0,4775.0,一丢丢严重,124040.0
148,利比亚,0.0,122894.0,103312.0,1936.0,一丢丢严重,122894.0
150,阿尔及利亚,248.0,108629.0,74330.0,2909.0,一丢丢严重,108877.0
152,巴林,702.0,106713.0,100772.0,379.0,一丢丢严重,107415.0
154,肯尼亚,156.0,101690.0,84302.0,1776.0,一丢丢严重,101846.0
156,北马其顿,403.0,94599.0,83735.0,2916.0,一丢丢严重,95002.0
158,吉尔吉斯斯坦,72.0,85071.0,81635.0,1426.0,一丢丢严重,85143.0
160,阿尔巴尼亚,1089.0,84212.0,50875.0,1446.0,稍微严重,85301.0
162,韩国,393.0,80896.0,70865.0,1471.0,一丢丢严重,81289.0
164,乌兹别克斯坦,56.0,79098.0,77522.0,621.0,一丢丢严重,79154.0
166,拉脱维亚,1044.0,71320.0,59399.0,1327.0,稍微严重,72364.0
168,加纳,791.0,70046.0,63502.0,449.0,一丢丢严重,70837.0
170,斯里兰卡,742.0,68576.0,62594.0,351.0,一丢丢严重,69318.0
172,黑山,571.0,64739.0,56228.0,836.0,一丢丢严重,65310.0
174,挪威,373.0,64653.0,57004.0,582.0,一丢丢严重,65026.0
176,赞比亚,1000.0,61427.0,53410.0,839.0,稍微严重,62427.0
180,萨尔瓦多,212.0,56237.0,50431.0,1681.0,一丢丢严重,56449.0
182,阿富汗,5.0,55335.0,48027.0,2410.0,一丢丢严重,55340.0
184,卢森堡,182.0,51689.0,48421.0,592.0,一丢丢严重,51871.0
186,爱沙尼亚,587.0,47512.0,37648.0,456.0,一丢丢严重,48099.0
188,芬兰,368.0,47262.0,31000.0,688.0,一丢丢严重,47630.0
190,乌拉圭,499.0,44812.0,38469.0,481.0,一丢丢严重,45311.0
192,莫桑比克,0.0,44112.0,26790.0,451.0,一丢丢严重,44112.0
194,乌干达,0.0,39821.0,14349.0,327.0,一丢丢严重,39821.0
196,纳米比亚,0.0,34844.0,33359.0,371.0,一丢丢严重,34844.0
198,津巴布韦,160.0,34487.0,28383.0,1316.0,一丢丢严重,34647.0
200,古巴,821.0,32011.0,26039.0,233.0,一丢丢严重,32832.0
202,塞浦路斯,133.0,31644.0,2057.0,211.0,一丢丢严重,31777.0
204,喀麦隆,0.0,31394.0,29501.0,474.0,一丢丢严重,31394.0
206,科特迪瓦,193.0,29567.0,27773.0,162.0,一丢丢严重,29760.0
208,澳大利亚,6.0,28850.0,26086.0,909.0,一丢丢严重,28856.0
210,塞内加尔,383.0,28489.0,23292.0,675.0,一丢丢严重,28872.0
212,苏丹,0.0,27500.0,21794.0,1831.0,一丢丢严重,27500.0
214,马拉维,476.0,26875.0,11348.0,837.0,一丢丢严重,27351.0
216,博茨瓦纳,0.0,23503.0,19574.0,163.0,一丢丢严重,23503.0
218,刚果（金）,149.0,23485.0,15107.0,679.0,一丢丢严重,23634.0
222,安哥拉,34.0,20062.0,18475.0,475.0,一丢丢严重,20096.0
224,马达加斯加,0.0,19065.0,18215.0,281.0,一丢丢严重,19065.0
226,马耳他,134.0,18576.0,15896.0,279.0,一丢丢严重,18710.0
228,法属波利尼西亚,20.0,18185.0,4842.0,133.0,一丢丢严重,18205.0
230,牙买加,591.0,16841.0,12225.0,357.0,一丢丢严重,17432.0
232,毛里塔尼亚,37.0,16792.0,15985.0,425.0,一丢丢严重,16829.0
234,马尔代夫,137.0,16656.0,14556.0,54.0,一丢丢严重,16793.0
236,卢旺达,198.0,16337.0,12047.0,217.0,一丢丢严重,16535.0
240,斯威士兰,92.0,16181.0,11469.0,604.0,一丢丢严重,16273.0
244,叙利亚,71.0,14408.0,8053.0,947.0,一丢丢严重,14479.0
248,塔吉克斯坦,0.0,13308.0,13218.0,90.0,一丢丢严重,13308.0
250,伯利兹,5.0,12037.0,11479.0,306.0,一丢丢严重,12042.0
252,海地,66.0,11806.0,9156.0,246.0,一丢丢严重,11872.0
254,加蓬,328.0,11457.0,10797.0,71.0,一丢丢严重,11785.0
258,留尼汪岛,177.0,10507.0,9769.0,47.0,一丢丢严重,10684.0
260,安道尔,35.0,10206.0,9492.0,105.0,一丢丢严重,10241.0
264,莱索托,164.0,9380.0,2706.0,183.0,一丢丢严重,9544.0
266,瓜德罗普,0.0,9226.0,2242.0,155.0,一丢丢严重,9226.0
268,苏里南,24.0,8650.0,7974.0,160.0,一丢丢严重,8674.0
270,巴哈马,9.0,8256.0,6819.0,176.0,一丢丢严重,8265.0
272,马里,15.0,8160.0,6054.0,338.0,一丢丢严重,8175.0
274,刚果（布）,0.0,8060.0,5846.0,122.0,一丢丢严重,8060.0
276,圭亚那合作共和国,107.0,7939.0,6962.0,180.0,一丢丢严重,8046.0
278,特立尼达和多巴哥,0.0,7612.0,7255.0,135.0,一丢丢严重,7612.0
280,阿鲁巴,34.0,7202.0,6796.0,62.0,一丢丢严重,7236.0
282,马提尼克,0.0,6484.0,98.0,45.0,一丢丢严重,6484.0
284,尼加拉瓜,0.0,6299.0,4225.0,170.0,一丢丢严重,6299.0
286,冰岛,0.0,6021.0,5959.0,29.0,一丢丢严重,6021.0
290,赤道几内亚,0.0,5578.0,5358.0,86.0,一丢丢严重,5578.0
294,中非共和国,0.0,4989.0,4885.0,63.0,一丢丢严重,4989.0
300,尼日尔,14.0,4598.0,3950.0,165.0,一丢丢严重,4612.0
302,南苏丹,88.0,4355.0,3663.0,66.0,一丢丢严重,4443.0
304,冈比亚,0.0,4237.0,3886.0,134.0,一丢丢严重,4237.0
306,贝宁,0.0,4193.0,3563.0,55.0,一丢丢严重,4193.0
308,直布罗陀,14.0,4177.0,3923.0,80.0,一丢丢严重,4191.0
310,海峡群岛,19.0,3885.0,3383.0,83.0,一丢丢严重,3904.0
312,塞拉利昂,31.0,3772.0,2452.0,79.0,一丢丢严重,3803.0
314,乍得,17.0,3473.0,2849.0,125.0,一丢丢严重,3490.0
316,圣马力诺,16.0,3127.0,2795.0,69.0,一丢丢严重,3143.0
318,科摩罗,26.0,3086.0,2334.0,108.0,一丢丢严重,3112.0
320,几内亚比绍,90.0,2772.0,2427.0,46.0,一丢丢严重,2862.0
322,列支敦士登,0.0,2518.0,2424.0,52.0,一丢丢严重,2518.0
328,也门,2.0,2127.0,1428.0,615.0,一丢丢严重,2129.0
332,越南,5.0,1985.0,1468.0,35.0,一丢丢严重,1990.0
334,利比里亚,0.0,1956.0,1770.0,84.0,一丢丢严重,1956.0
336,圣马丁岛,10.0,1928.0,1780.0,27.0,一丢丢严重,1938.0
346,摩纳哥,29.0,1647.0,1362.0,19.0,一丢丢严重,1676.0
348,塞舌尔,0.0,1504.0,1158.0,6.0,一丢丢严重,1504.0
350,圣多美和普林西比,48.0,1351.0,1060.0,18.0,一丢丢严重,1399.0
354,巴布亚新几内亚,0.0,891.0,828.0,9.0,一丢丢严重,891.0
358,钻石公主号邮轮,0.0,712.0,699.0,13.0,一丢丢严重,712.0
360,百慕大,0.0,692.0,670.0,12.0,一丢丢严重,692.0
364,毛里求斯,0.0,584.0,540.0,10.0,一丢丢严重,584.0
366,坦桑尼亚,0.0,509.0,183.0,21.0,一丢丢严重,509.0
370,马恩岛,0.0,434.0,405.0,25.0,一丢丢严重,434.0
376,安提瓜和巴布达,20.0,288.0,187.0,7.0,一丢丢严重,308.0
378,文莱,1.0,181.0,173.0,3.0,一丢丢严重,182.0
388,斐济,0.0,56.0,53.0,2.0,一丢丢严重,56.0
408,蒙特塞拉特,0.0,15.0,13.0,1.0,一丢丢严重,15.0
213,长沙,332.0,332.0,332.0,0.0,一丢丢严重,
